bin(1m),invocations,avg_ms,p90_ms,p95_ms,max_ms
2025-11-02 19:15:00.000,100,2.6902,1.67,5.51,38.23
2025-11-02 19:14:00.000,100,2.6541,1.78,12.23,31.56
2025-11-02 19:13:00.000,60,2.2547,1.9,2.22,16.74
2025-11-02 19:07:00.000,8,1.6162,1.81,1.81,1.81
2025-11-02 19:06:00.000,2,15.91,30.21,30.21,30.21
2025-11-02 18:56:00.000,150,5.9534,14.81,33.41,53.39
2025-11-02 18:46:00.000,150,5.356,14.43,18.69,75.78
2025-11-02 18:43:00.000,150,4.3639,12.24,18.34,30.6
2025-11-02 16:45:00.000,1,1.86,1.86,1.86,1.86
